index,teks,aspek,sentimen,waktu
23,"pelayan cepat sopan , semangat terus maxsim👍",Perilaku & Profesionalisme Driver,Positif,2025-02-28 17:15:48
24,"pelayan cepat sopan , semangat terus maxsim👍",Umum,Positif,2025-02-28 17:15:48
25,mengecewakan order maxim food driver minta talangan sudah ditransfer makanan ngga dianter,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2025-02-28 16:41:46
26,mengecewakan order maxim food driver minta talangan sudah ditransfer makanan ngga dianter,Perilaku & Profesionalisme Driver,Negatif,2025-02-28 16:41:46
27,cepat .mantapb,Umum,Positif,2025-02-28 16:12:18
28,drivernya mantap & baik hati,Perilaku & Profesionalisme Driver,Positif,2025-02-28 16:08:29
29,"gak bagus apk ini,saya urgen milih maxim karna ngikutin biaya mobil gak ada yg mau ambil orderan walau di sekitar banyak driver aktif. gak bagus ni apk maxim,orng udah sekarat pun orderan gk ada yg nyangkutl",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 16:03:59
30,"gak bagus apk ini,saya urgen milih maxim karna ngikutin biaya mobil gak ada yg mau ambil orderan walau di sekitar banyak driver aktif. gak bagus ni apk maxim,orng udah sekarat pun orderan gk ada yg nyangkutl",Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 16:03:59
31,"kenapa banyak driver gak mengerti & gak hafal jalan & emang google maps tidak selamanya membantu & menyesatkan tapi paling tidak pihak maxim lebih memperketat lagi buat menyeleksi drivernya yang betul"" mengerti & hafal jalan kalau perlu di adakan sekolah mengemudi lagi buat drivernya biar ngerti jalan",Perilaku & Profesionalisme Driver,Negatif,2025-02-28 15:56:06
32,"kenapa banyak driver gak mengerti & gak hafal jalan & emang google maps tidak selamanya membantu & menyesatkan tapi paling tidak pihak maxim lebih memperketat lagi buat menyeleksi drivernya yang betul"" mengerti & hafal jalan kalau perlu di adakan sekolah mengemudi lagi buat drivernya biar ngerti jalan",Akurasi GPS & Peta,Negatif,2025-02-28 15:56:06
33,bisa dipesan tanpa harus berada dilokasi yang sama,UI/UX Aplikasi (Tampilan/Desain),Positif,2025-02-28 15:53:47
34,sangat puas sekali pokonya mantap lahh joss,Umum,Positif,2025-02-28 15:37:14
35,alhamdulillah..driver ramah ..selamat sampai rumah .. terimakasih 🙏,Perilaku & Profesionalisme Driver,Positif,2025-02-28 15:30:08
36,alhamdulillah..driver ramah ..selamat sampai rumah .. terimakasih 🙏,Umum,Positif,2025-02-28 15:30:08
37,ramah tepat waktu,Perilaku & Profesionalisme Driver,Positif,2025-02-28 15:24:54
38,ramah tepat waktu,Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 15:24:54
39,alhamdulillah selamat sampai tujuan,Umum,Positif,2025-02-28 15:22:09
40,driver nya ramah baik,Perilaku & Profesionalisme Driver,Positif,2025-02-28 15:19:10
41,"bapaknya ramah sopan dan nyaman nyetirnya, ak bawa ank2 jg pada nyaman",Perilaku & Profesionalisme Driver,Positif,2025-02-28 15:14:33
42,driver nya ramah asik,Perilaku & Profesionalisme Driver,Positif,2025-02-28 15:07:29
43,"bapaknya baik ramah, helmnya nyaman dan wangi",Perilaku & Profesionalisme Driver,Positif,2025-02-28 14:37:46
44,"bapaknya baik ramah, helmnya nyaman dan wangi",Kondisi Kendaraan Driver,Positif,2025-02-28 14:37:46
45,tolong khusus kota sorong dan kabupaten sorong driver nya kalau lagi makan atau istirahat tidak bisa melayani konsumen hp atau aplikasi nya di matikan tadi siang saya hampir 5 driver motor minta di batal kan nanti malah di kira saya main main aplikasi sampai tadi siang saya ngk bisa buka apk karena ulah mereka sendiri. saya mohon di himbau kepada driver motor tersebut sampai saya di marahi boss hanya karena pelayanan maxim motor yang minta di batalkan alasan ban bocor lah alasan makan lah 🙏,Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 14:30:39
46,tolong khusus kota sorong dan kabupaten sorong driver nya kalau lagi makan atau istirahat tidak bisa melayani konsumen hp atau aplikasi nya di matikan tadi siang saya hampir 5 driver motor minta di batal kan nanti malah di kira saya main main aplikasi sampai tadi siang saya ngk bisa buka apk karena ulah mereka sendiri. saya mohon di himbau kepada driver motor tersebut sampai saya di marahi boss hanya karena pelayanan maxim motor yang minta di batalkan alasan ban bocor lah alasan makan lah 🙏,Pembatalan oleh Driver,Negatif,2025-02-28 14:30:39
47,tolong khusus kota sorong dan kabupaten sorong driver nya kalau lagi makan atau istirahat tidak bisa melayani konsumen hp atau aplikasi nya di matikan tadi siang saya hampir 5 driver motor minta di batal kan nanti malah di kira saya main main aplikasi sampai tadi siang saya ngk bisa buka apk karena ulah mereka sendiri. saya mohon di himbau kepada driver motor tersebut sampai saya di marahi boss hanya karena pelayanan maxim motor yang minta di batalkan alasan ban bocor lah alasan makan lah 🙏,Perilaku & Profesionalisme Driver,Negatif,2025-02-28 14:30:39
48,"mbak rina nya baik, komunikatif.. tq mbak sudah antar saya.",Perilaku & Profesionalisme Driver,Positif,2025-02-28 14:28:33
49,layanan sangat baik terimakasih banyak,Umum,Positif,2025-02-28 14:20:18
50,"mantap, driver dan pelayanannya",Perilaku & Profesionalisme Driver,Positif,2025-02-28 14:04:35
51,"mantap, driver dan pelayanannya",Customer Service,Positif,2025-02-28 14:04:35
52,maps nya bikin sakit lagi..biar gampang cari titik nya,Akurasi GPS & Peta,Negatif,2025-02-28 13:54:46
53,driver nya ramah ganteng,Perilaku & Profesionalisme Driver,Positif,2025-02-28 13:45:38
54,baik sekali bg ni,Umum,Positif,2025-02-28 13:36:04
55,baik n ramah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 13:35:08
56,pelayanan sangat baik,Umum,Positif,2025-02-28 13:32:47
57,"apk lelet, pencarian lelet, saya mlah terlambat ngantor",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 13:20:57
58,"dahal ya bagus ini apk tpi driver nya banyak yang nolak dengan alasan hujan, yakali mesen sepeda dahal mesen pakek mobil huft",UI/UX Aplikasi (Tampilan/Desain),Positif,2025-02-28 13:19:26
59,"dahal ya bagus ini apk tpi driver nya banyak yang nolak dengan alasan hujan, yakali mesen sepeda dahal mesen pakek mobil huft",Pembatalan oleh Driver,Negatif,2025-02-28 13:19:26
60,"dahal ya bagus ini apk tpi driver nya banyak yang nolak dengan alasan hujan, yakali mesen sepeda dahal mesen pakek mobil huft",Perilaku & Profesionalisme Driver,Negatif,2025-02-28 13:19:26
61,pengemudi gampang mencancel orderan,Pembatalan oleh Driver,Negatif,2025-02-28 13:15:50
62,pengiriman terbaik,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2025-02-28 13:12:52
63,"alhamdulillah pelayann ny memuaskan, terimakasih👍🏽👍🏽👍🏽",Customer Service,Positif,2025-02-28 13:12:35
64,"perjalanan sesuai titik,bapaknya sabar, terimakasih",Perilaku & Profesionalisme Driver,Positif,2025-02-28 13:11:21
65,"perjalanan sesuai titik,bapaknya sabar, terimakasih",Akurasi GPS & Peta,Positif,2025-02-28 13:11:21
66,puas dengan pelayanan nya,Umum,Positif,2025-02-28 13:10:41
67,melayani cepat aman nyaman sampai tujuan,Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 13:07:23
68,melayani cepat aman nyaman sampai tujuan,Perilaku & Profesionalisme Driver,Positif,2025-02-28 13:07:23
69,ramah dan sangat cepat,Perilaku & Profesionalisme Driver,Positif,2025-02-28 13:06:32
70,ramah dan sangat cepat,Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 13:06:32
71,mantap sekali,Umum,Positif,2025-02-28 13:05:43
72,"bguss bgt,mudah buat mesen kendaraan dan harga yg murah kualitas sangat bagus,supirnya pun ramah ramah.",UI/UX Aplikasi (Tampilan/Desain),Positif,2025-02-28 12:53:41
73,"bguss bgt,mudah buat mesen kendaraan dan harga yg murah kualitas sangat bagus,supirnya pun ramah ramah.",Harga & Tarif,Positif,2025-02-28 12:53:41
74,"bguss bgt,mudah buat mesen kendaraan dan harga yg murah kualitas sangat bagus,supirnya pun ramah ramah.",Perilaku & Profesionalisme Driver,Positif,2025-02-28 12:53:41
75,"pelayanan baik, terimakasih😊",Umum,Positif,2025-02-28 12:53:07
76,sikap driver sangat baik,Perilaku & Profesionalisme Driver,Positif,2025-02-28 12:44:54
77,bagus 👍mempermudah kita bos,Umum,Positif,2025-02-28 12:40:37
78,saya nyaman dengan maxim,Umum,Positif,2025-02-28 12:38:09
79,mas nya baik sekali,Perilaku & Profesionalisme Driver,Positif,2025-02-28 12:29:58
80,"gajelas tiba""logout sendiri, nyari driver lama bngt berkali"" gada driver nya-_-",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 12:24:21
81,"gajelas tiba""logout sendiri, nyari driver lama bngt berkali"" gada driver nya-_-",Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 12:24:21
82,tepat waktu penjemputan,Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 12:21:18
83,sangat puas dan cepat dengan layanannya terimakasih,Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 12:06:52
84,sangat puas dan cepat dengan layanannya terimakasih,Umum,Positif,2025-02-28 12:06:52
85,sangat mengayomi,Umum,Positif,2025-02-28 12:03:39
86,lama banget nyari orang yg mau anter makanan disini,Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 11:57:27
87,aman nyaman,Umum,Positif,2025-02-28 11:48:08
88,semoga maxim selalu jaya pelayanan gercep good job,Customer Service,Positif,2025-02-28 11:39:12
89,semoga maxim selalu jaya pelayanan gercep good job,Umum,Positif,2025-02-28 11:39:12
90,draipernya bagus sopan ramah tamah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 11:34:52
91,sangat baik dan ramahh,Umum,Positif,2025-02-28 11:08:57
92,pak terimakasih engge 🙏🙏🙏,Umum,Positif,2025-02-28 11:07:59
93,"terima kasih bang , saya mau interviuw di antar sampai tujuan",Perilaku & Profesionalisme Driver,Positif,2025-02-28 11:01:41
94,"cepat, sangat baik 👌 orang nya juga baikk",Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 10:54:51
95,"cepat, sangat baik 👌 orang nya juga baikk",Perilaku & Profesionalisme Driver,Positif,2025-02-28 10:54:51
96,driver maxim nya ramah.. baik. respon nya cpt 👍🏻👍🏻👍🏻,Perilaku & Profesionalisme Driver,Positif,2025-02-28 10:31:24
97,"ongkos murah, tapi sayang nya gak bisa login, sudah berkali kali saya ganti nomor tuk login tapi gak masuk masuk kede verifikasi nya, tolong di perbaiki, jika sudah di perbaiki saya kasi bintang 5",Harga & Tarif,Positif,2025-02-28 10:31:01
98,"ongkos murah, tapi sayang nya gak bisa login, sudah berkali kali saya ganti nomor tuk login tapi gak masuk masuk kede verifikasi nya, tolong di perbaiki, jika sudah di perbaiki saya kasi bintang 5",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 10:31:01
99,sesuai yang diharapkan,Umum,Positif,2025-02-28 10:29:27
100,kerenn nuhun bro,Umum,Positif,2025-02-28 10:26:40
101,makanan yang di pesan kebanyakan gak ada di titik,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2025-02-28 10:25:30
102,driver mobilnya sombong-sombong semua. kecuali dinaikin harganya baru mau. kalau memang niatnya ga mau sesuai aplikasi ga usah make maxim!,Perilaku & Profesionalisme Driver,Negatif,2025-02-28 10:25:14
103,driver mobilnya sombong-sombong semua. kecuali dinaikin harganya baru mau. kalau memang niatnya ga mau sesuai aplikasi ga usah make maxim!,Harga & Tarif,Negatif,2025-02-28 10:25:14
104,orangnya asik,Perilaku & Profesionalisme Driver,Positif,2025-02-28 10:05:37
105,driver nya ok pisannn hatur nuhun,Perilaku & Profesionalisme Driver,Positif,2025-02-28 10:01:19
106,pelayanan sangat maximal terbaik,Umum,Positif,2025-02-28 09:58:45
107,puas dan ramah,Umum,Positif,2025-02-28 09:44:45
108,"apps ga jelas,drivernya ga niat kerja,uda dikasih harga lebih malah di tolak terus,ga niat kerja apa gimana?,dan buat devlopernya mohon appsnya mohon di benahi lagi kadang sering error tiba tiba",Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 09:42:20
109,"apps ga jelas,drivernya ga niat kerja,uda dikasih harga lebih malah di tolak terus,ga niat kerja apa gimana?,dan buat devlopernya mohon appsnya mohon di benahi lagi kadang sering error tiba tiba",Perilaku & Profesionalisme Driver,Negatif,2025-02-28 09:42:20
110,"apps ga jelas,drivernya ga niat kerja,uda dikasih harga lebih malah di tolak terus,ga niat kerja apa gimana?,dan buat devlopernya mohon appsnya mohon di benahi lagi kadang sering error tiba tiba",Harga & Tarif,Negatif,2025-02-28 09:42:20
111,keren banget ya kak untuk berubah menjadi pemenang semakin besar untuk menjadi lebih baik dari tadi,Umum,Positif,2025-02-28 09:32:17
112,semakin bagus,Umum,Positif,2025-02-28 09:22:56
113,terbaik. terima kasih 🙏🏻🙏🏻,Umum,Positif,2025-02-28 09:21:21
114,"kak bisa tambah fitur send foto nggak buat kirim patokan lokasi, soalnya malah suka kucing kucingan sama drivernya.",UI/UX Aplikasi (Tampilan/Desain),Positif,2025-02-28 09:16:40
115,"kak bisa tambah fitur send foto nggak buat kirim patokan lokasi, soalnya malah suka kucing kucingan sama drivernya.",Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 09:16:40
116,mantap pelayanannya,Umum,Positif,2025-02-28 09:13:15
117,tingkatkan terus pelayanan,Umum,Positif,2025-02-28 09:12:32
118,"driver nya sering telat nyampenya bahkan sampai 30 menit, kadang juga udah nungguin setengah jam ehh tiba tiba di cancel sama driver nya, naik mobilnya juga drivernya gak ramah, tas nya ditaruh didepan kursi penumpang dan gak mau dipindahin, padahal kan untuk mobil kan 4 orang,, terus bayar nya gak sesuai aplikasi lagi.. katanya dari aplikasi driver nya gitu, padahal gak ada lewat tol atau bayar parkir. ketika diberikan masukan ke aplikasinya ehh malah kita yang disalahin.",Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 09:07:49
119,"driver nya sering telat nyampenya bahkan sampai 30 menit, kadang juga udah nungguin setengah jam ehh tiba tiba di cancel sama driver nya, naik mobilnya juga drivernya gak ramah, tas nya ditaruh didepan kursi penumpang dan gak mau dipindahin, padahal kan untuk mobil kan 4 orang,, terus bayar nya gak sesuai aplikasi lagi.. katanya dari aplikasi driver nya gitu, padahal gak ada lewat tol atau bayar parkir. ketika diberikan masukan ke aplikasinya ehh malah kita yang disalahin.",Pembatalan oleh Driver,Negatif,2025-02-28 09:07:49
120,"driver nya sering telat nyampenya bahkan sampai 30 menit, kadang juga udah nungguin setengah jam ehh tiba tiba di cancel sama driver nya, naik mobilnya juga drivernya gak ramah, tas nya ditaruh didepan kursi penumpang dan gak mau dipindahin, padahal kan untuk mobil kan 4 orang,, terus bayar nya gak sesuai aplikasi lagi.. katanya dari aplikasi driver nya gitu, padahal gak ada lewat tol atau bayar parkir. ketika diberikan masukan ke aplikasinya ehh malah kita yang disalahin.",Perilaku & Profesionalisme Driver,Negatif,2025-02-28 09:07:49
121,"driver nya sering telat nyampenya bahkan sampai 30 menit, kadang juga udah nungguin setengah jam ehh tiba tiba di cancel sama driver nya, naik mobilnya juga drivernya gak ramah, tas nya ditaruh didepan kursi penumpang dan gak mau dipindahin, padahal kan untuk mobil kan 4 orang,, terus bayar nya gak sesuai aplikasi lagi.. katanya dari aplikasi driver nya gitu, padahal gak ada lewat tol atau bayar parkir. ketika diberikan masukan ke aplikasinya ehh malah kita yang disalahin.",Harga & Tarif,Negatif,2025-02-28 09:07:49
122,"driver nya sering telat nyampenya bahkan sampai 30 menit, kadang juga udah nungguin setengah jam ehh tiba tiba di cancel sama driver nya, naik mobilnya juga drivernya gak ramah, tas nya ditaruh didepan kursi penumpang dan gak mau dipindahin, padahal kan untuk mobil kan 4 orang,, terus bayar nya gak sesuai aplikasi lagi.. katanya dari aplikasi driver nya gitu, padahal gak ada lewat tol atau bayar parkir. ketika diberikan masukan ke aplikasinya ehh malah kita yang disalahin.",Customer Service,Negatif,2025-02-28 09:07:49
123,chat yg d kirim k driver tdk semuanya masuk / d terima driver,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 08:59:28
124,terimakasih pak sudah bnyak membantuk sya...,Umum,Positif,2025-02-28 08:57:15
125,tingkatkan lagi dalam segala hal terimakasih,Umum,Positif,2025-02-28 08:40:07
126,maxim mobil di tegal driver nya tidak ada yang ramah !,Perilaku & Profesionalisme Driver,Negatif,2025-02-28 08:39:14
127,trmksh plnyanan y sngt bgus...semonga lancar rejekiy sehat dlm prjlanan,Umum,Positif,2025-02-28 08:37:53
128,maxsim susah skli dapatin agak lelet untuk menerima penumpang yg butuh,Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 08:18:10
129,mb nya baik bgt. salah titik jauj gk marah tetep lgsung di gas. maaf dan makasih mb 💖,Perilaku & Profesionalisme Driver,Positif,2025-02-28 08:14:01
130,"cepat,,pelayanan bagus,, terimakasih",Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 08:12:44
131,"cepat,,pelayanan bagus,, terimakasih",Perilaku & Profesionalisme Driver,Positif,2025-02-28 08:12:44
132,"tolong perbaiki layanan nya, maxim untuk daerah kotabumi lampung utara pengemudi nya kurang baik. customer bawa barang banyak supir nya gk suka, customer perempuan dengan barang bawaan yg banyak tidak dibantu nurunin barang dr mobil. sangat buruk!",Customer Service,Negatif,2025-02-28 08:07:47
133,"tolong perbaiki layanan nya, maxim untuk daerah kotabumi lampung utara pengemudi nya kurang baik. customer bawa barang banyak supir nya gk suka, customer perempuan dengan barang bawaan yg banyak tidak dibantu nurunin barang dr mobil. sangat buruk!",Perilaku & Profesionalisme Driver,Negatif,2025-02-28 08:07:47
134,trimakasih telah membantu perjalanan kami,Umum,Positif,2025-02-28 08:05:16
135,baik..ramah sabar walaupun macet semagat yaa pak,Perilaku & Profesionalisme Driver,Positif,2025-02-28 08:00:01
136,"sangat ramah,baik",Perilaku & Profesionalisme Driver,Positif,2025-02-28 07:56:43
137,bagus pelayanannya,Umum,Positif,2025-02-28 07:52:41
138,bisa diandalkan dlm perjalanan,Umum,Positif,2025-02-28 07:48:47
139,baik banget bolak balik dibantu cari travel,Customer Service,Positif,2025-02-28 07:48:17
140,banyak gangguan,Umum,Negatif,2025-02-28 07:45:57
141,mudah dan aktivasi,Umum,Positif,2025-02-28 07:20:01
142,"mantab coi maxim murah bet murah, driver nya juga cepet nyampe nya terus sampai ke tujuan dengan cepat dan selamat, mantab maxim lebih bagus dari gojek",Harga & Tarif,Positif,2025-02-28 07:17:05
143,"mantab coi maxim murah bet murah, driver nya juga cepet nyampe nya terus sampai ke tujuan dengan cepat dan selamat, mantab maxim lebih bagus dari gojek",Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 07:17:05
144,"mantab coi maxim murah bet murah, driver nya juga cepet nyampe nya terus sampai ke tujuan dengan cepat dan selamat, mantab maxim lebih bagus dari gojek",Perilaku & Profesionalisme Driver,Positif,2025-02-28 07:17:05
145,"mantab coi maxim murah bet murah, driver nya juga cepet nyampe nya terus sampai ke tujuan dengan cepat dan selamat, mantab maxim lebih bagus dari gojek",Umum,Positif,2025-02-28 07:17:05
146,pelayaan nya lumayan bagus 👍,Customer Service,Positif,2025-02-28 07:15:33
147,pelayanan prima terimakasih,Umum,Positif,2025-02-28 07:13:21
148,"sopir sopan, ramah dan sabar",Perilaku & Profesionalisme Driver,Positif,2025-02-28 07:13:09
149,"driver ramah,dan nyaman",Perilaku & Profesionalisme Driver,Positif,2025-02-28 07:12:00
150,"driver ramah,dan nyaman",Kondisi Kendaraan Driver,Positif,2025-02-28 07:12:00
151,gak bisa ngirim sms apa la no ku masih aktif di suruh nyocokin gambar emng gak niat ga sa buat laa,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 07:05:19
152,untuk ketika menunggu konfirmasi msi terlalu lama y kak,Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 06:51:27
153,ramah.tepat waktu..terima kasih,Perilaku & Profesionalisme Driver,Positif,2025-02-28 06:48:02
154,ramah.tepat waktu..terima kasih,Ketersediaan Driver (Lama Menunggu),Positif,2025-02-28 06:48:02
155,trimakasih atas pelayananya,Umum,Positif,2025-02-28 06:43:38
156,pesan food disini nda di respon,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2025-02-28 06:36:27
157,cepatt dan baik,Umum,Positif,2025-02-28 06:13:35
158,"ribet, pilih map kesusahan, nggak banyak map/jln yang bisa di pilih alias tidak nonggol di maxim doang",UI/UX Aplikasi (Tampilan/Desain),Negatif,2025-02-28 06:12:31
159,"ribet, pilih map kesusahan, nggak banyak map/jln yang bisa di pilih alias tidak nonggol di maxim doang",Akurasi GPS & Peta,Negatif,2025-02-28 06:12:31
160,mantap makasih kang udah anterin sampai tu7an,Umum,Positif,2025-02-28 05:50:58
161,nyaman aman ..mantap,Umum,Positif,2025-02-28 05:47:36
162,mengecewakan order sudah selesai tapi memesan otomatis kembali padahal saya tidak pesan dan orderan sebelumnya sudah selesai. not recommended,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 05:44:58
163,mengecewakan order sudah selesai tapi memesan otomatis kembali padahal saya tidak pesan dan orderan sebelumnya sudah selesai. not recommended,Umum,Negatif,2025-02-28 05:44:58
164,"salado beberapa kali ke potong tanpa ada driver yang datang ke lokasi penjemputan, sama aja merampok uang user, sangat memalukan",Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 05:11:04
165,"salado beberapa kali ke potong tanpa ada driver yang datang ke lokasi penjemputan, sama aja merampok uang user, sangat memalukan",Harga & Tarif,Negatif,2025-02-28 05:11:04
166,"maxim murah tapi koo ini ban motor yang bocor kenapa pembayaran jadi naik yg harusnya 28.400 jd 38.600 saya di haruskan bayar , menunggu 20menit berbayar , anneh yaa pelanggan yang nunggu tapi bayar juga!!!!! baru kali naik ojol begini",Harga & Tarif,Negatif,2025-02-28 05:01:56
167,"maxim murah tapi koo ini ban motor yang bocor kenapa pembayaran jadi naik yg harusnya 28.400 jd 38.600 saya di haruskan bayar , menunggu 20menit berbayar , anneh yaa pelanggan yang nunggu tapi bayar juga!!!!! baru kali naik ojol begini",Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 05:01:56
168,pengemudi ramah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 04:31:28
169,amang nya sabar ..nungguin pelangga beli ayam dulu😊🙏🙏sehat² buat pejuang rupiah di seluruh penjuru semoga bahu kalian selalu kuat dlm mencari nafkah yang halal .. nyetir nya pelan² pak sopir😁😁anak istri slalu nunggu d rumah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 04:31:23
170,amang nya sabar ..nungguin pelangga beli ayam dulu😊🙏🙏sehat² buat pejuang rupiah di seluruh penjuru semoga bahu kalian selalu kuat dlm mencari nafkah yang halal .. nyetir nya pelan² pak sopir😁😁anak istri slalu nunggu d rumah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 04:31:23
171,aman nyaman diperjalanan,Umum,Positif,2025-02-28 04:27:34
172,sangat baik pelayanannya,Umum,Positif,2025-02-28 04:26:49
173,makasih pak supir,Perilaku & Profesionalisme Driver,Positif,2025-02-28 04:24:39
174,baik sekali terimakasih,Umum,Positif,2025-02-28 04:18:16
175,"min, saran yo kalau udah deket drivernya di navigasi bikin tombol cancelnya hilang aja, nanti malah driver marah ke penumpang, saya emang salah udah minta maaf, kalau dibesar-besarin nanti penumpangnya malah kenapa kenapa kan gak lucu min",UI/UX Aplikasi (Tampilan/Desain),Negatif,2025-02-28 04:13:17
176,"min, saran yo kalau udah deket drivernya di navigasi bikin tombol cancelnya hilang aja, nanti malah driver marah ke penumpang, saya emang salah udah minta maaf, kalau dibesar-besarin nanti penumpangnya malah kenapa kenapa kan gak lucu min",Perilaku & Profesionalisme Driver,Negatif,2025-02-28 04:13:17
177,bapak nya baik dan ramah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 04:02:02
178,baik sekali nyetirnya,Perilaku & Profesionalisme Driver,Positif,2025-02-28 03:52:57
179,"driver baik, cepat dan ramah",Perilaku & Profesionalisme Driver,Positif,2025-02-28 03:37:14
180,perjalanan aman dan nyaman serta driver yang ramah.,Perilaku & Profesionalisme Driver,Positif,2025-02-28 03:28:43
181,perjalanan aman dan nyaman serta driver yang ramah.,Kualitas Layanan Pesan Antar (Food/Delivery),Positif,2025-02-28 03:28:43
182,"ramah, sangat baikk",Umum,Positif,2025-02-28 03:19:12
183,kurirnya baik ramah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 03:10:50
184,komunikasi sangat baik dan sabar🙏,Perilaku & Profesionalisme Driver,Positif,2025-02-28 03:05:43
